full_date,date,weekday,time,mood,activities,note_title,note
2024-01-09,9 stycznia,wtorek,22:43,tak sobie,"ćwiczenie | relaks | gry komputerowe","",""
2024-01-08,8 stycznia,poniedziałek,21:35,dobrze,"randka | gry komputerowe | zakupy","",""
2024-01-07,7 stycznia,niedziela,21:35,dobrze,"ćwiczenie | czytanie | gry komputerowe","",""
2024-01-06,6 stycznia,sobota,21:35,tak sobie,"gry komputerowe | sprzątanie | zakupy","",""
2024-01-05,5 stycznia,piątek,21:38,dobrze,"czytanie | gry komputerowe | sprzątanie","",""
2024-01-04,4 stycznia,czwartek,21:35,tak sobie,"ćwiczenie | czytanie | sprzątanie","",""
2024-01-03,3 stycznia,środa,21:36,dobrze,"czytanie | gry komputerowe | sprzątanie","",""
2024-01-02,2 stycznia,wtorek,21:35,tak sobie,"rodzina | ćwiczenie | czytanie | sprzątanie","",""
2024-01-01,1 stycznia,poniedziałek,21:36,tak sobie,"rodzina | ćwiczenie | relaks | gry komputerowe","",""
2023-12-31,31 grudnia,niedziela,21:41,tak sobie,"rodzina | relaks | gry komputerowe","",""
2023-12-30,30 grudnia,sobota,21:35,dobrze,"rodzina | relaks | gry komputerowe","",""
2023-12-29,29 grudnia,piątek,21:47,tak sobie,"rodzina | relaks | gry komputerowe","",""
2023-12-28,28 grudnia,czwartek,22:29,dobrze,"rodzina | relaks | czytanie | gry komputerowe","",""
2023-12-27,27 grudnia,środa,23:53,dobrze,"rodzina | relaks | gry komputerowe | sprzątanie","",""
2023-12-26,26 grudnia,wtorek,21:35,tak sobie,"rodzina | relaks | czytanie | gry komputerowe","",""
2023-12-25,25 grudnia,poniedziałek,22:07,dobrze,"rodzina | relaks | filmy | gry komputerowe","",""
2023-12-24,24 grudnia,niedziela,21:40,tak sobie,"rodzina | relaks | czytanie | sprzątanie","",""
2023-12-23,23 grudnia,sobota,21:35,tak sobie,"rodzina | czytanie | zakupy","",""
2023-12-22,22 grudnia,piątek,21:35,źle,"relaks | gry komputerowe | sprzątanie","",""
2023-12-21,21 grudnia,czwartek,22:00,tak sobie,"ćwiczenie | sprzątanie | zakupy","",""
2023-12-21,21 grudnia,czwartek,18:49,tak sobie,"ćwiczenie | relaks | gry komputerowe | zakupy","",""
2023-12-16,16 grudnia,sobota,22:32,dobrze,"randka | ćwiczenie | relaks | filmy | zakupy","",""
2023-12-15,15 grudnia,piątek,21:48,dobrze,"randka | sport | gry komputerowe","",""
2023-12-14,14 grudnia,czwartek,23:49,tak sobie,"randka | filmy | gry komputerowe","",""
2023-12-13,13 grudnia,środa,20:04,tak sobie,"randka | relaks","",""
