Year, Nonprimary forest, Primary forest
2001, 341.83, 38.3
2002, 327.47, 96.11
2003, 174.7, 91.42
2004, 481.11, 220.83
2005, 487.73, 280.31
2006, 538.17, 235.8
2007, 560.19, 261.65
2008, 575.4, 274.27
2009, 851.26, 467.22
2010, 546.2, 340.91
2011, 536.12, 330.96
2012, 729.42, 449.43
2013, 354.38, 231.48
2014, 278.94, 165.69
2015, 154.78, 64.21
