Oil type,Monounsaturated fatty acids,Polyunsaturated fatty acids,Saturated fatty acids,Omega-3 acids,Vitamin E
Palm oil (refined),35.47,6.27,53.7,0.3,0.01594
Palm oil (hydrogenated),5,0,89,0,0.00381
Rapeseed oil,62.97,25.84,6.67,7.45,0.0175
Olive oil,70.12,10.61,14.86,0.651,0.01435
Sunflower oil,19.45,65.05,11.05,0.165,0.0411
Coconut oil,5.8,1.8,86.5,0.02,0.00011
