ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,Date,year,month,day,week_number,day-name,Time(Minutes),SleepMinutes,CoffeeCups,EnergyLevelMorning,EnergyLevelEvening,Productivity,StepsCount,Meeting,Projects,Tests,NumberOfLecturesToday,SportActivity,WorkingHours,WeekDay,audio_features,acousticness,instrumentalness,energy,danceability,liveness,loudness,speechiness,valence,release_date,preview_url,album_cover,artists_photo,album_on_spotify,artist_on_spotify
2023-10-01T19:30:19Z,0611wiki,android,240000.0,PL,188.146.110.98,unknown,I Want You To Know,Zedd,True Colors,spotify:track:1JDIArrcepzWDTAWXdGYmP,,,,backbtn,trackdone,True,0.0,False,1696188380.0,False,2023-10-01,2023,10,1,39,Sunday,4.0,480,0,7,10,High,9123,1,0,0,0.0,1,0.0,Sunday,"{'acousticness': 0.00537, 'instrumentalness': 6.62e-06, 'energy': 0.846, 'danceability': 0.58, 'liveness': 0.145, 'loudness': -2.876, 'speechiness': 0.0573, 'valence': 0.366}",0.005695320536041566,6.62e-06,0.846,0.48453608247422675,0.17657291968686575,0.8664917172379858,0.11660649819494584,0.3535462912831619,2015-05-18,,https://i.scdn.co/image/ab67616d0000b273d040bc5b46915b49a64d7b1d,https://i.scdn.co/image/ab6761610000e5ebf801e3d9ecb568a1c3c62393,https://open.spotify.com/album/4jKdXIJckKh7la6xHuKwRT,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
2023-10-01T19:33:21Z,0611wiki,android,182160.0,PL,188.146.110.98,unknown,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,spotify:track:7qEHsqek33rTcFNT9PFqLf,,,,trackdone,trackdone,True,0.0,False,1696188619.0,False,2023-10-01,2023,10,1,39,Sunday,3.036,480,0,7,10,High,9123,1,0,0,0.0,1,0.0,Sunday,"{'acousticness': 0.751, 'instrumentalness': 0, 'energy': 0.405, 'danceability': 0.501, 'liveness': 0.105, 'loudness': -5.679, 'speechiness': 0.0319, 'valence': 0.446}",0.808379726790398,0.0,0.405,0.3487972508591065,0.1185850971296028,0.6366245694603903,0.024909747292418766,0.4401732539252843,2019-05-17,,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,https://i.scdn.co/image/ab6761610000e5ebea7538654040e553a7b0fc28,https://open.spotify.com/album/5658aM19fA3JVwTK6eQX70,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB
2023-10-01T19:35:50Z,0611wiki,android,148116.0,PL,188.146.110.98,unknown,Feel Alive,KAMRAD,Feel Alive,spotify:track:0tb0RHrF4IpwPJOKYxnxxe,,,,trackdone,trackdone,True,0.0,False,1696188801.0,False,2023-10-01,2023,10,1,39,Sunday,2.4686,480,0,7,10,High,9123,1,0,0,0.0,1,0.0,Sunday,"{'acousticness': 0.162, 'instrumentalness': 0, 'energy': 0.793, 'danceability': 0.723, 'liveness': 0.442, 'loudness': -6.95, 'speechiness': 0.0287, 'valence': 0.893}",0.17431039577660307,0.0,0.793,0.7302405498281785,0.6071325021745434,0.5323929801541741,0.013357400722021656,0.924201407688143,2023-01-20,https://p.scdn.co/mp3-preview/c121500967eba42e4040089f2fee5eeba653b3e2?cid=89e81bd8b07e4d4d89e690680735841e,https://i.scdn.co/image/ab67616d0000b27350e6021cfcb26eb4b302e9f3,https://i.scdn.co/image/ab6761610000e5eb621d6145ebe2b0ba121a0c4f,https://open.spotify.com/album/3zNr5IOpeOlfhpAHYz4ihP,https://open.spotify.com/artist/6zcWVbyNT0z94MBffsTJGP
2023-12-19T21:01:23Z,0611wiki,android,148116.0,PL,31.0.124.26,unknown,Feel Alive,KAMRAD,Feel Alive,spotify:track:0tb0RHrF4IpwPJOKYxnxxe,,,,trackdone,trackdone,True,0.0,False,1703019535.0,False,2023-12-19,2023,12,19,51,Tuesday,2.4686,340,0,5,7,Medium,7235,0,0,0,2.0,0,4.0,Tuesday,"{'acousticness': 0.162, 'instrumentalness': 0, 'energy': 0.793, 'danceability': 0.723, 'liveness': 0.442, 'loudness': -6.95, 'speechiness': 0.0287, 'valence': 0.893}",0.17431039577660307,0.0,0.793,0.7302405498281785,0.6071325021745434,0.5323929801541741,0.013357400722021656,0.924201407688143,2023-01-20,https://p.scdn.co/mp3-preview/c121500967eba42e4040089f2fee5eeba653b3e2?cid=89e81bd8b07e4d4d89e690680735841e,https://i.scdn.co/image/ab67616d0000b27350e6021cfcb26eb4b302e9f3,https://i.scdn.co/image/ab6761610000e5eb621d6145ebe2b0ba121a0c4f,https://open.spotify.com/album/3zNr5IOpeOlfhpAHYz4ihP,https://open.spotify.com/artist/6zcWVbyNT0z94MBffsTJGP
2023-10-01T19:39:12Z,0611wiki,android,202245.0,PL,188.146.110.98,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,trackdone,trackdone,True,0.0,False,1696188950.0,False,2023-10-01,2023,10,1,39,Sunday,3.37075,480,0,7,10,High,9123,1,0,0,0.0,1,0.0,Sunday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
2023-11-20T22:52:01Z,0611wiki,android,35886.0,PL,188.146.248.84,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,trackdone,logout,True,0.0,False,1700519372.0,False,2023-11-20,2023,11,20,47,Monday,0.5981,310,0,5,7,High,5624,0,0,0,7.0,0,2.0,Monday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
2023-11-21T13:55:15Z,0611wiki,android,202245.0,PL,188.146.116.7,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,trackdone,trackdone,True,0.0,False,1700574713.0,False,2023-11-21,2023,11,21,47,Tuesday,3.37075,280,0,4,3,High,6289,0,0,0,4.0,0,2.0,Tuesday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
2023-11-21T13:48:25Z,0611wiki,android,161.0,PL,188.146.116.7,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,appload,backbtn,True,1.0,False,1700574503.0,False,2023-11-21,2023,11,21,47,Tuesday,0.00268,280,0,4,3,High,6289,0,0,0,4.0,0,2.0,Tuesday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
2023-11-22T10:39:44Z,0611wiki,android,568.0,PL,188.146.116.7,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,backbtn,backbtn,True,1.0,False,1700649584.0,False,2023-11-22,2023,11,22,47,Wednesday,0.00947,290,0,6,7,Medium,4712,0,0,0,2.0,0,4.0,Wednesday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
2023-11-22T10:46:34Z,0611wiki,android,202245.0,PL,188.146.116.7,unknown,Hold Me Closer,Elton John,Hold Me Closer,spotify:track:72yP0DUlWPyH8P7IoxskwN,,,,trackdone,trackdone,True,0.0,False,1700649792.0,False,2023-11-22,2023,11,22,47,Wednesday,3.37075,290,0,6,7,Medium,4712,0,0,0,2.0,0,4.0,Wednesday,"{'acousticness': 0.0746, 'instrumentalness': 0.000198, 'energy': 0.75, 'danceability': 0.667, 'liveness': 0.197, 'loudness': -4.602, 'speechiness': 0.0906, 'valence': 0.486}",0.08022268859391088,0.000198,0.75,0.634020618556701,0.25195708901130764,0.7249466950959487,0.23682310469314083,0.48348673524634544,2022-08-26,,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,https://open.spotify.com/album/4QQWpCEX4BxMXwRQmtkKY6,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b
