Date,SleepMinutes,CoffeeCups,EnergyLevelMorning,EnergyLevelEvening,Productivity,StepsCount,Meeting,Projects,Tests,NumberOfLecturesToday,SportActivity,WorkingHours,WeekDay
2023-10-28,400,0,9,9,Medium,9161,0,0,0,1.0,0,0.0,Saturday
2023-10-29,340,0,7,9,Medium,8924,0,0,0,0.0,1,0.0,Sunday
2023-10-30,360,0,7,5,High,6419,0,0,0,2.0,0,5.0,Monday
2023-10-31,390,0,6,5,High,6249,0,0,0,4.0,0,4.0,Tuesday
2023-11-01,470,0,8,9,Medium,3856,0,0,0,0.0,0,0.0,Wednesday
2023-11-02,370,0,6,8,High,8128,0,0,0,2.0,0,8.5,Thursday
2023-11-03,360,0,6,8,Medium,5991,1,0,0,2.0,0,2.0,Friday
2023-11-04,420,0,10,9,Medium,9228,0,0,0,1.0,0,0.0,Saturday
2023-11-05,360,0,8,10,Medium,8745,1,0,0,0.0,1,0.0,Sunday
2023-11-06,410,0,8,5,High,6112,0,0,0,7.0,0,2.5,Monday
2023-11-07,370,0,6,4,High,6587,0,0,0,4.0,0,4.0,Tuesday
2023-11-08,340,0,6,7,Medium,3703,0,0,0,2.0,0,4.0,Wednesday
2023-11-09,350,1,4,5,High,8463,0,1,0,2.0,0,8.0,Thursday
2023-11-10,340,0,7,6,Medium,5809,1,0,0,0.0,0,7.0,Friday
2023-11-11,430,0,9,10,Medium,5421,0,0,0,1.0,0,0.0,Saturday
2023-11-12,330,0,8,9,Medium,8911,0,0,0,0.0,1,0.0,Sunday
2023-11-13,420,0,7,6,High,5988,0,0,0,6.0,0,2.0,Monday
2023-11-14,340,0,5,3,High,6119,0,0,0,4.0,0,4.0,Tuesday
2023-11-15,360,0,7,8,Medium,3938,0,0,0,2.0,0,4.0,Wednesday
2023-11-16,330,1,5,7,High,8927,0,0,0,2.0,0,7.0,Thursday
2023-11-17,350,0,7,9,Medium,7992,1,0,0,2.0,0,2.0,Friday
2023-11-18,400,0,10,8,Medium,5818,0,0,0,1.0,0,0.0,Saturday
2023-11-19,310,0,6,9,Medium,8702,0,0,0,0.0,1,0.0,Sunday
2023-11-20,310,0,5,7,High,5624,0,0,0,7.0,0,2.0,Monday
2023-11-21,280,0,4,3,High,6289,0,0,0,4.0,0,2.0,Tuesday
2023-11-22,290,0,6,7,Medium,4712,0,0,0,2.0,0,4.0,Wednesday
2023-11-23,240,1,3,5,High,7614,1,2,0,1.0,0,8.0,Thursday
2023-11-24,270,0,5,7,Medium,6965,1,0,0,2.0,0,2.0,Friday
2023-11-25,370,0,8,7,Medium,4276,0,0,0,1.0,0,0.0,Saturday
2023-11-26,320,0,6,8,Medium,6696,0,0,0,0.0,1,0.0,Sunday
2023-11-27,250,0,5,6,High,5948,0,0,0,6.0,0,2.0,Monday
2023-11-28,370,0,7,8,High,6052,0,1,0,2.0,0,0.0,Tuesday
2023-11-29,250,0,5,6,High,10222,0,0,0,2.0,0,4.0,Wednesday
2023-11-30,210,1,3,4,High,8197,0,0,0,2.0,0,7.0,Thursday
2023-12-01,230,0,4,7,Medium,4140,1,0,0,2.0,0,2.0,Friday
2023-12-02,340,0,6,7,High,3432,0,0,0,0.0,0,0.0,Saturday
2023-12-03,350,0,6,8,Medium,6691,0,0,0,0.0,0,0.0,Sunday
2023-12-04,370,0,8,7,High,3860,0,0,1,2.0,0,2.0,Monday
2023-12-05,210,0,4,6,High,4804,0,0,0,2.0,0,2.0,Tuesday
2023-12-06,200,0,4,5,High,3688,0,0,0,2.0,0,4.0,Wednesday
2023-12-07,180,1,2,4,High,5647,0,0,0,1.5,0,8.0,Thursday
2023-12-08,380,0,8,6,High,8312,0,0,1,2.0,0,0.0,Friday
2023-12-09,370,0,7,5,Medium,5385,1,0,0,0.0,0,0.0,Saturday
2023-12-10,380,0,9,6,Medium,8020,1,0,0,0.0,0,0.0,Sunday
2023-12-11,360,0,4,5,Medium,6738,0,2,0,2.0,0,2.0,Monday
2023-12-12,280,0,3,5,Low,4730,0,0,0,0.0,0,2.0,Tuesday
2023-12-13,370,0,6,7,High,12054,1,1,1,2.0,0,0.0,Wednesday
2023-12-14,210,1,7,5,High,19271,2,0,0,2.0,0,8.0,Thursday
2023-12-15,340,0,8,4,High,5873,1,0,0,2.0,0,2.0,Friday
2023-12-16,430,0,9,8,Medium,4122,1,0,0,1.0,0,0.0,Saturday
2023-12-17,360,0,9,10,Medium,11418,1,0,0,0.0,1,0.0,Sunday
2023-12-18,350,0,7,8,High,5521,0,0,0,0.0,0,6.0,Monday
2023-12-19,340,0,5,7,Medium,7235,0,0,0,2.0,0,4.0,Tuesday
2023-12-20,360,0,7,9,High,7949,1,0,0,2.0,0,4.0,Wednesday
2023-12-21,350,0,5,8,High,8294,1,0,0,1.0,1,9.0,Thursday
2023-12-22,420,0,8,10,Medium,5873,0,0,0,2.0,0,3.0,Friday
2023-12-23,460,0,10,6,High,6758,0,0,0,0.0,0,0.0,Saturday
2023-12-24,430,0,9,10,High,7510,2,0,0,0.0,0,0.0,Sunday
2023-12-25,490,0,10,9,High,6278,2,0,0,0.0,0,0.0,Monday
2023-12-26,420,0,8,6,Medium,8842,2,0,0,0.0,0,0.0,Tuesday
2023-12-27,380,0,5,8,High,5300,1,0,0,0.0,0,6.0,Wednesday
2023-12-28,360,0,5,8,Medium,6932,1,0,0,0.0,0,6.0,Thursday
2023-12-29,370,0,8,9,High,6810,2,0,0,0.0,0,6.0,Friday
2023-12-30,410,0,8,9,High,7785,2,0,0,1.0,0,0.0,Saturday
2023-12-31,450,0,8,10,High,10298,2,0,0,0.0,0,0.0,Sunday
