Month,Year,Hour,WeekDay,Minute,Day,Type
Dec,2023,13,Wednesday,32,20,Video
Dec,2023,13,Wednesday,31,20,Video
Dec,2023,13,Wednesday,31,20,Video
Dec,2023,13,Wednesday,31,20,Ad
Dec,2023,13,Wednesday,31,20,Ad
Dec,2023,13,Wednesday,30,20,Video
Dec,2023,13,Wednesday,30,20,Video
Dec,2023,12,Wednesday,53,20,Video
Dec,2023,11,Wednesday,42,20,Video
Dec,2023,0,Wednesday,42,20,Ad
Dec,2023,0,Wednesday,40,20,Video
Dec,2023,0,Wednesday,40,20,Video
Dec,2023,0,Wednesday,36,20,Video
Dec,2023,0,Wednesday,35,20,Video
Dec,2023,0,Wednesday,35,20,Video
Dec,2023,0,Wednesday,34,20,Video
Dec,2023,0,Wednesday,13,20,Ad
Dec,2023,22,Tuesday,14,19,Video
Dec,2023,20,Tuesday,22,19,Video
Dec,2023,20,Tuesday,22,19,Video
Dec,2023,20,Tuesday,21,19,Video
Dec,2023,20,Tuesday,19,19,Video
Dec,2023,20,Tuesday,19,19,Video
Dec,2023,20,Tuesday,19,19,Ad
Dec,2023,19,Tuesday,28,19,Video
Dec,2023,19,Tuesday,27,19,Ad
Dec,2023,19,Tuesday,13,19,Video
Dec,2023,18,Tuesday,10,19,Video
Dec,2023,18,Tuesday,10,19,Video
Dec,2023,18,Tuesday,09,19,Video
Dec,2023,18,Tuesday,09,19,Video
Dec,2023,18,Tuesday,09,19,Video
Dec,2023,18,Tuesday,08,19,Video
Dec,2023,18,Tuesday,08,19,Video
Dec,2023,18,Tuesday,07,19,Video
Dec,2023,18,Tuesday,02,19,Video
Dec,2023,18,Tuesday,02,19,Ad
Dec,2023,2,Tuesday,17,19,Video
Dec,2023,2,Tuesday,17,19,Video
Dec,2023,2,Tuesday,17,19,Video
Dec,2023,2,Tuesday,17,19,Ad
Dec,2023,2,Tuesday,10,19,Video
Dec,2023,2,Tuesday,10,19,Video
Dec,2023,2,Tuesday,04,19,Video
Dec,2023,2,Tuesday,04,19,Ad
Dec,2023,1,Tuesday,39,19,Video
Dec,2023,1,Tuesday,39,19,Ad
Dec,2023,1,Tuesday,38,19,Video
Dec,2023,1,Tuesday,38,19,Video
Dec,2023,20,Monday,47,18,Video
Dec,2023,20,Monday,47,18,Video
Dec,2023,18,Monday,42,18,Ad
Dec,2023,12,Monday,58,18,Video
Dec,2023,12,Monday,58,18,Ad
Dec,2023,12,Monday,58,18,Ad
Dec,2023,0,Monday,49,18,Video
Dec,2023,0,Monday,48,18,Video
Dec,2023,0,Monday,37,18,Video
Dec,2023,0,Monday,04,18,Video
Dec,2023,0,Monday,02,18,Video
Dec,2023,0,Monday,01,18,Video
Dec,2023,0,Monday,01,18,Ad
Dec,2023,23,Sunday,53,17,Video
Dec,2023,23,Sunday,53,17,Ad
Dec,2023,23,Sunday,49,17,Video
Dec,2023,21,Sunday,32,17,Ad
Dec,2023,21,Sunday,30,17,Video
Dec,2023,20,Sunday,55,17,Video
Dec,2023,20,Sunday,54,17,Video
Dec,2023,20,Sunday,53,17,Video
Dec,2023,20,Sunday,52,17,Video
Dec,2023,20,Sunday,50,17,Video
Dec,2023,20,Sunday,50,17,Ad
Dec,2023,20,Sunday,50,17,Ad
Dec,2023,20,Sunday,50,17,Video
Dec,2023,19,Sunday,29,17,Video
Dec,2023,19,Sunday,29,17,Ad
Dec,2023,19,Sunday,27,17,Video
Dec,2023,19,Sunday,27,17,Video
Dec,2023,18,Sunday,27,17,Video
Dec,2023,18,Sunday,27,17,Video
Dec,2023,16,Sunday,02,17,Video
Dec,2023,15,Sunday,44,17,Video
Dec,2023,15,Sunday,42,17,Video
Dec,2023,12,Sunday,08,17,Video
Dec,2023,1,Sunday,00,17,Video
Dec,2023,0,Sunday,59,17,Video
Dec,2023,0,Sunday,39,17,Video
Dec,2023,0,Sunday,39,17,Video
Dec,2023,0,Sunday,39,17,Ad
Dec,2023,0,Sunday,39,17,Ad
Dec,2023,0,Sunday,15,17,Video
Dec,2023,0,Sunday,14,17,Video
Dec,2023,0,Sunday,13,17,Ad
Dec,2023,0,Sunday,02,17,Ad
Dec,2023,23,Saturday,57,16,Video
Dec,2023,23,Saturday,57,16,Video
Dec,2023,23,Saturday,23,16,Video
Dec,2023,23,Saturday,23,16,Video
Dec,2023,23,Saturday,20,16,Ad
Dec,2023,23,Saturday,20,16,Video
Dec,2023,23,Saturday,19,16,Video
Dec,2023,23,Saturday,17,16,Video
Dec,2023,23,Saturday,08,16,Video
Dec,2023,22,Saturday,59,16,Video
Dec,2023,22,Saturday,51,16,Video
Dec,2023,22,Saturday,50,16,Video
Dec,2023,22,Saturday,50,16,Ad
Dec,2023,22,Saturday,47,16,Video
Dec,2023,22,Saturday,44,16,Video
Dec,2023,21,Saturday,40,16,Video
Dec,2023,16,Saturday,41,16,Ad
Dec,2023,16,Saturday,05,16,Video
Dec,2023,15,Saturday,53,16,Video
Dec,2023,14,Saturday,02,16,Ad
Dec,2023,14,Saturday,01,16,Video
Dec,2023,14,Saturday,01,16,Video
Dec,2023,14,Saturday,00,16,Video
Dec,2023,13,Saturday,59,16,Video
Dec,2023,13,Saturday,19,16,Video
Dec,2023,13,Saturday,18,16,Ad
Dec,2023,12,Saturday,42,16,Video
Dec,2023,12,Saturday,41,16,Ad
Dec,2023,12,Saturday,39,16,Ad
Dec,2023,12,Saturday,39,16,Ad
Dec,2023,12,Saturday,26,16,Video
Dec,2023,12,Saturday,24,16,Video
Dec,2023,12,Saturday,23,16,Video
Dec,2023,12,Saturday,23,16,Ad
Dec,2023,12,Saturday,23,16,Video
Dec,2023,12,Saturday,22,16,Video
Dec,2023,0,Saturday,20,16,Video
Dec,2023,23,Friday,32,15,Video
Dec,2023,23,Friday,32,15,Video
Dec,2023,23,Friday,31,15,Ad
Dec,2023,23,Friday,28,15,Video
Dec,2023,23,Friday,13,15,Video
Dec,2023,23,Friday,13,15,Ad
Dec,2023,23,Friday,08,15,Video
Dec,2023,23,Friday,08,15,Ad
Dec,2023,23,Friday,08,15,Ad
Dec,2023,23,Friday,05,15,Video
Dec,2023,23,Friday,04,15,Ad
Dec,2023,22,Friday,59,15,Video
Dec,2023,22,Friday,58,15,Video
Dec,2023,22,Friday,57,15,Ad
Dec,2023,22,Friday,35,15,Video
Dec,2023,22,Friday,35,15,Ad
Dec,2023,22,Friday,35,15,Video
Dec,2023,22,Friday,22,15,Ad
Dec,2023,22,Friday,22,15,Ad
Dec,2023,22,Friday,21,15,Video
Dec,2023,22,Friday,19,15,Video
Dec,2023,22,Friday,19,15,Ad
Dec,2023,22,Friday,16,15,Video
Dec,2023,22,Friday,16,15,Video
Dec,2023,20,Friday,55,15,Ad
Dec,2023,20,Friday,54,15,Ad
Dec,2023,20,Friday,54,15,Video
Dec,2023,20,Friday,53,15,Video
Dec,2023,20,Friday,52,15,Video
Dec,2023,20,Friday,51,15,Video
Dec,2023,20,Friday,51,15,Video
Dec,2023,20,Friday,28,15,Video
Dec,2023,17,Friday,04,15,Video
Dec,2023,15,Friday,20,15,Video
Dec,2023,15,Friday,01,15,Video
Dec,2023,15,Friday,01,15,Ad
Dec,2023,15,Friday,01,15,Video
Dec,2023,15,Friday,00,15,Video
Dec,2023,15,Friday,00,15,Video
Dec,2023,15,Friday,00,15,Video
Dec,2023,5,Friday,02,15,Video
Dec,2023,22,Thursday,53,14,Video
Dec,2023,22,Thursday,53,14,Video
Dec,2023,20,Thursday,36,14,Video
Dec,2023,20,Thursday,36,14,Video
Dec,2023,20,Thursday,35,14,Ad
Dec,2023,20,Thursday,35,14,Ad
