Month,Year,Hour,WeekDay,Minute,Day,Type
Dec,2023,19,Friday,37,29,Ad
Dec,2023,19,Friday,26,29,Ad
Dec,2023,19,Friday,05,29,Video
Dec,2023,19,Friday,05,29,Video
Dec,2023,19,Friday,05,29,Ad
Dec,2023,19,Friday,04,29,Video
Dec,2023,18,Friday,36,29,Ad
Dec,2023,18,Friday,16,29,Ad
Dec,2023,18,Friday,10,29,Ad
Dec,2023,17,Friday,40,29,Ad
Dec,2023,17,Friday,24,29,Ad
Dec,2023,17,Friday,02,29,Ad
Dec,2023,16,Friday,50,29,Ad
Dec,2023,16,Friday,39,29,Video
Dec,2023,15,Friday,54,29,Ad
Dec,2023,14,Friday,25,29,Video
Dec,2023,14,Friday,24,29,Video
Dec,2023,14,Friday,23,29,Ad
Dec,2023,14,Friday,04,29,Video
Dec,2023,14,Friday,02,29,Ad
Dec,2023,14,Friday,02,29,Ad
Dec,2023,21,Thursday,58,28,Video
Dec,2023,20,Thursday,19,28,Video
Dec,2023,20,Thursday,19,28,Ad
Dec,2023,20,Thursday,14,28,Ad
Dec,2023,20,Thursday,05,28,Ad
Dec,2023,19,Thursday,56,28,Video
Dec,2023,19,Thursday,56,28,Ad
Dec,2023,16,Thursday,08,28,Ad
Dec,2023,15,Thursday,59,28,Video
Dec,2023,15,Thursday,59,28,Ad
Dec,2023,15,Thursday,59,28,Video
Dec,2023,15,Thursday,25,28,Video
Dec,2023,15,Thursday,25,28,Video
Dec,2023,14,Thursday,05,28,Ad
Dec,2023,10,Thursday,36,28,Ad
Dec,2023,10,Thursday,30,28,Ad
Dec,2023,10,Thursday,16,28,Video
Dec,2023,10,Thursday,09,28,Ad
Dec,2023,12,Thursday,13,28,Video
Dec,2023,23,Wednesday,56,27,Video
Dec,2023,23,Wednesday,55,27,Video
Dec,2023,23,Wednesday,55,27,Ad
Dec,2023,23,Wednesday,46,27,Video
Dec,2023,23,Wednesday,45,27,Ad
Dec,2023,23,Wednesday,40,27,Video
Dec,2023,23,Wednesday,40,27,Ad
Dec,2023,23,Wednesday,33,27,Video
Dec,2023,23,Wednesday,33,27,Ad
Dec,2023,23,Wednesday,25,27,Video
Dec,2023,23,Wednesday,25,27,Video
Dec,2023,23,Wednesday,25,27,Ad
Dec,2023,23,Wednesday,24,27,Ad
Dec,2023,23,Wednesday,14,27,Video
Dec,2023,23,Wednesday,14,27,Video
Dec,2023,23,Wednesday,14,27,Ad
Dec,2023,23,Wednesday,06,27,Ad
Dec,2023,22,Wednesday,56,27,Video
Dec,2023,22,Wednesday,56,27,Video
Dec,2023,22,Wednesday,55,27,Video
Dec,2023,22,Wednesday,55,27,Ad
Dec,2023,22,Wednesday,51,27,Video
Dec,2023,22,Wednesday,47,27,Video
Dec,2023,22,Wednesday,47,27,Video
Dec,2023,22,Wednesday,45,27,Ad
Dec,2023,20,Wednesday,01,27,Video
Dec,2023,20,Wednesday,00,27,Ad
Dec,2023,19,Wednesday,48,27,Video
Dec,2023,19,Wednesday,48,27,Ad
Dec,2023,19,Wednesday,29,27,Video
Dec,2023,18,Wednesday,29,27,Video
Dec,2023,18,Wednesday,29,27,Ad
Dec,2023,14,Monday,12,25,Video
Dec,2023,14,Monday,12,25,Ad
Dec,2023,13,Monday,55,25,Ad
Dec,2023,13,Monday,47,25,Video
Dec,2023,13,Monday,47,25,Ad
Dec,2023,0,Monday,54,25,Ad
Dec,2023,0,Monday,54,25,Video
Dec,2023,23,Sunday,54,24,Video
Dec,2023,23,Sunday,54,24,Ad
Dec,2023,19,Sunday,26,24,Video
Dec,2023,19,Sunday,26,24,Ad
Dec,2023,15,Sunday,54,24,Ad
Dec,2023,14,Sunday,50,24,Ad
Dec,2023,13,Sunday,51,24,Ad
Dec,2023,13,Sunday,46,24,Ad
Dec,2023,13,Sunday,40,24,Ad
Dec,2023,13,Sunday,40,24,Ad
Dec,2023,13,Sunday,26,24,Video
Dec,2023,13,Sunday,26,24,Ad
Dec,2023,14,Saturday,36,23,Video
Dec,2023,14,Saturday,36,23,Ad
Dec,2023,10,Saturday,25,23,Video
Dec,2023,10,Saturday,20,23,Video
Dec,2023,10,Saturday,20,23,Ad
Dec,2023,10,Saturday,18,23,Video
Dec,2023,10,Saturday,14,23,Video
Dec,2023,10,Saturday,14,23,Ad
Dec,2023,9,Saturday,46,23,Ad
Dec,2023,9,Saturday,46,23,Video
Dec,2023,22,Friday,14,22,Video
Dec,2023,22,Friday,14,22,Ad
Dec,2023,21,Friday,00,22,Ad
Dec,2023,20,Friday,59,22,Ad
Dec,2023,20,Friday,51,22,Ad
Dec,2023,20,Friday,42,22,Ad
Dec,2023,20,Friday,41,22,Video
Dec,2023,20,Friday,02,22,Video
Dec,2023,20,Friday,01,22,Ad
Dec,2023,17,Friday,41,22,Video
Dec,2023,17,Friday,41,22,Ad
Dec,2023,15,Friday,41,22,Video
Dec,2023,15,Friday,41,22,Ad
Dec,2023,14,Friday,40,22,Ad
Dec,2023,14,Friday,31,22,Ad
Dec,2023,14,Friday,22,22,Video
Dec,2023,14,Friday,21,22,Ad
Dec,2023,14,Friday,21,22,Ad
Dec,2023,14,Friday,21,22,Ad
Dec,2023,14,Friday,20,22,Video
Dec,2023,13,Friday,58,22,Video
Dec,2023,13,Friday,58,22,Video
Dec,2023,13,Friday,57,22,Ad
Dec,2023,13,Friday,51,22,Ad
Dec,2023,13,Friday,51,22,Ad
Dec,2023,20,Thursday,38,21,Video
Dec,2023,20,Thursday,38,21,Ad
Dec,2023,20,Thursday,32,21,Ad
Dec,2023,20,Thursday,26,21,Video
Dec,2023,20,Thursday,26,21,Ad
Dec,2023,20,Thursday,26,21,Ad
Dec,2023,0,Thursday,57,21,Ad
Dec,2023,11,Thursday,43,21,Video
Dec,2023,11,Thursday,32,21,Ad
Dec,2023,11,Thursday,24,21,Ad
Dec,2023,10,Thursday,56,21,Ad
Dec,2023,10,Thursday,48,21,Ad
Dec,2023,10,Thursday,41,21,Ad
Dec,2023,10,Thursday,41,21,Video
Dec,2023,8,Thursday,40,21,Ad
Dec,2023,22,Wednesday,56,20,Video
Dec,2023,22,Wednesday,55,20,Ad
Dec,2023,22,Wednesday,53,20,Video
Dec,2023,22,Wednesday,45,20,Video
Dec,2023,22,Wednesday,39,20,Ad
Dec,2023,17,Wednesday,33,20,Ad
Dec,2023,16,Wednesday,38,20,Ad
Dec,2023,16,Wednesday,22,20,Ad
Dec,2023,16,Wednesday,11,20,Video
Dec,2023,16,Wednesday,11,20,Ad
Dec,2023,15,Wednesday,55,20,Video
Dec,2023,15,Wednesday,52,20,Ad
Dec,2023,15,Wednesday,51,20,Video
Dec,2023,15,Wednesday,51,20,Video
Dec,2023,15,Wednesday,51,20,Video
Dec,2023,15,Wednesday,51,20,Video
Dec,2023,15,Wednesday,50,20,Video
Dec,2023,15,Wednesday,37,20,Video
Dec,2023,15,Wednesday,36,20,Video
Dec,2023,15,Wednesday,36,20,Ad
Dec,2023,14,Wednesday,35,20,Video
Dec,2023,14,Wednesday,34,20,Video
Dec,2023,14,Wednesday,33,20,Ad
Dec,2023,14,Wednesday,33,20,Video
Dec,2023,14,Wednesday,31,20,Video
Dec,2023,14,Wednesday,31,20,Video
Dec,2023,14,Wednesday,30,20,Video
Dec,2023,14,Wednesday,30,20,Video
Dec,2023,14,Wednesday,30,20,Ad
Dec,2023,13,Wednesday,43,20,Ad
Dec,2023,13,Wednesday,42,20,Ad
Dec,2023,11,Wednesday,36,20,Ad
Dec,2023,11,Wednesday,30,20,Video
Dec,2023,11,Wednesday,30,20,Ad
Dec,2023,10,Wednesday,50,20,Video
Dec,2023,10,Wednesday,49,20,Video
Dec,2023,10,Wednesday,49,20,Video
Dec,2023,10,Wednesday,48,20,Video
Dec,2023,10,Wednesday,48,20,Ad
Dec,2023,10,Wednesday,48,20,Ad
Dec,2023,10,Wednesday,39,20,Video
Dec,2023,10,Wednesday,39,20,Ad
Dec,2023,17,Tuesday,33,19,Ad
Dec,2023,17,Tuesday,28,19,Ad
Dec,2023,17,Tuesday,20,19,Ad
Dec,2023,17,Tuesday,15,19,Video
Dec,2023,17,Tuesday,15,19,Ad
Dec,2023,12,Tuesday,01,19,Ad
Dec,2023,15,Monday,45,18,Video
Dec,2023,15,Monday,39,18,Ad
Dec,2023,15,Monday,25,18,Video
Dec,2023,15,Monday,25,18,Ad
Dec,2023,1,Monday,11,18,Ad
Dec,2023,12,Monday,46,18,Ad
Dec,2023,12,Monday,40,18,Ad
Dec,2023,12,Monday,28,18,Video
Dec,2023,12,Monday,27,18,Ad
Dec,2023,12,Monday,09,18,Ad
Dec,2023,12,Monday,09,18,Ad
Dec,2023,12,Monday,03,18,Video
Dec,2023,12,Monday,02,18,Ad
Dec,2023,20,Saturday,04,16,Video
Dec,2023,13,Saturday,05,16,Video
Dec,2023,0,Saturday,50,16,Ad
Dec,2023,0,Saturday,45,16,Ad
Dec,2023,0,Saturday,41,16,Ad
Dec,2023,0,Saturday,40,16,Video
Dec,2023,0,Saturday,38,16,Video
Dec,2023,0,Saturday,35,16,Ad
Dec,2023,9,Saturday,25,16,Ad
Dec,2023,9,Saturday,19,16,Ad
Dec,2023,9,Saturday,18,16,Ad
Dec,2023,9,Saturday,13,16,Video
Dec,2023,9,Saturday,13,16,Ad
Dec,2023,23,Friday,52,15,Video
Dec,2023,20,Friday,39,15,Ad
Dec,2023,20,Friday,34,15,Ad
Dec,2023,18,Friday,01,15,Video
Dec,2023,18,Friday,01,15,Ad
Dec,2023,17,Friday,51,15,Ad
Dec,2023,17,Friday,46,15,Ad
Dec,2023,17,Friday,41,15,Ad
Dec,2023,17,Friday,35,15,Ad
Dec,2023,17,Friday,30,15,Video
Dec,2023,17,Friday,30,15,Ad
Dec,2023,21,Thursday,46,14,Ad
Dec,2023,21,Thursday,41,14,Ad
Dec,2023,21,Thursday,29,14,Video
Dec,2023,21,Thursday,29,14,Ad
Dec,2023,15,Thursday,32,14,Ad
Dec,2023,15,Thursday,26,14,Ad
Dec,2023,15,Thursday,21,14,Video
Dec,2023,15,Thursday,20,14,Ad
Dec,2023,0,Thursday,23,14,Video
Dec,2023,0,Thursday,23,14,Video
Dec,2023,19,Wednesday,33,13,Ad
Dec,2023,19,Wednesday,33,13,Ad
Dec,2023,19,Wednesday,32,13,Video
Dec,2023,11,Wednesday,26,13,Ad
Dec,2023,11,Wednesday,19,13,Ad
Dec,2023,11,Wednesday,18,13,Ad
Dec,2023,17,Tuesday,03,12,Ad
Dec,2023,17,Tuesday,02,12,Ad
Dec,2023,16,Tuesday,56,12,Ad
Dec,2023,16,Tuesday,50,12,Video
Dec,2023,16,Tuesday,50,12,Ad
Dec,2023,16,Tuesday,49,12,Ad
Dec,2023,15,Monday,44,11,Video
Dec,2023,15,Monday,43,11,Video
Dec,2023,15,Monday,43,11,Ad
Dec,2023,15,Monday,40,11,Ad
Dec,2023,15,Monday,34,11,Video
Dec,2023,15,Monday,34,11,Ad
Dec,2023,15,Monday,34,11,Video
Dec,2023,15,Monday,30,11,Video
Dec,2023,15,Monday,29,11,Ad
Dec,2023,15,Monday,18,11,Video
